,,Total Net Profit,Total Trades,In Trade Max Draw Down(Closed Bar),Profit to Max Draw,Closed Trade Max Draw,Profit to Closed Trade Max Draw,PercentWinners,DrawPeriods Over -30k,Average Draw Over -30k,Draw Periods Over -10k,Average Draw Over -10k,MaxWin,MaxLoss,Avg Win,Avg Loss,Long Trades,Short Trades,Percent Long
"(35,)","(9,)",249900.0,467,-159285.0,1.5688859591298616,-153300.0,1.63013698630137,48.61,6,-72863.0,20,-33604.0,28203.0,-24591.0,6613.0,-5216.0,233,234,49.89
"(70,)","(4,)",223272.0,456,-144837.0,1.5415397999130056,-137340.0,1.6256880733944954,46.48,4,-77584.0,27,-24703.0,27048.0,-25284.0,6485.0,-4718.0,228,228,50.0
"(65,)","(9,)",231630.0,320,-151431.0,1.5296075440299541,-140049.0,1.653921127605338,46.88,6,-65968.0,25,-28566.0,26712.0,-24612.0,8284.0,-5965.0,160,160,50.0
"(30,)","(10,)",213990.0,478,-149646.0,1.429974740387314,-145950.0,1.4661870503597123,48.33,8,-56220.0,25,-27892.0,26712.0,-22911.0,6374.0,-5095.0,239,239,50.0
"(10,)","(6,)",277158.0,1217,-197904.0,1.4004668930390491,-191667.0,1.4460392242796098,46.3,5,-69065.0,17,-33052.0,26145.0,-20538.0,4042.0,-3072.0,609,608,50.04
"(60,)","(8,)",222684.0,357,-163422.0,1.3626317142122848,-159558.0,1.395630429060279,46.22,6,-64572.0,23,-29200.0,30597.0,-23205.0,7750.0,-5512.0,179,178,50.14
"(55,)","(10,)",161700.0,338,-126399.0,1.279282272802791,-111258.0,1.4533786334465837,47.63,3,-105777.0,28,-25835.0,26796.0,-33264.0,7636.0,-6058.0,169,169,50.0
"(15,)","(3,)",270312.0,1383,-212037.0,1.274834109141329,-208929.0,1.2937983716956478,44.47,6,-69517.0,18,-36029.0,25788.0,-20076.0,3820.0,-2703.0,692,691,50.04
"(60,)","(6,)",193746.0,419,-156324.0,1.239387426114992,-149583.0,1.2952407693387618,46.3,7,-62325.0,24,-29385.0,28770.0,-29379.0,6630.0,-4871.0,210,209,50.12
"(40,)","(10,)",254772.0,403,-210273.0,1.21162488764606,-206451.0,1.2340555386023802,49.63,7,-69096.0,23,-31316.0,31206.0,-23184.0,7013.0,-5657.0,201,202,49.88
"(70,)","(5,)",174888.0,398,-158235.0,1.105242203052422,-152292.0,1.148372862658577,45.59,5,-73202.0,27,-26169.0,27048.0,-24969.0,7170.0,-5208.0,199,199,50.0
"(60,)","(9,)",164766.0,339,-160944.0,1.0237473903966596,-155652.0,1.0585536967080411,44.84,6,-70018.0,24,-29613.0,30744.0,-25074.0,8100.0,-5719.0,170,169,50.15
"(60,)","(10,)",178332.0,320,-177891.0,1.0024790461574784,-169449.0,1.0524228528937911,48.12,5,-82320.0,19,-34011.0,26712.0,-26922.0,7966.0,-6338.0,160,160,50.0
"(70,)","(6,)",164724.0,362,-185073.0,0.8900487915579258,-178542.0,0.9226064455422254,45.58,4,-87512.0,22,-28584.0,27447.0,-24906.0,7594.0,-5536.0,181,181,50.0
"(10,)","(7,)",238980.0,1131,-273063.0,0.875182650157656,-264117.0,0.9048262701757176,47.34,6,-82600.0,15,-43194.0,25767.0,-20874.0,4147.0,-3338.0,566,565,50.04
